,abstract,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
36,"Argument mining is a core technology for automating argument search in large document collections. Despite its usefulness for this task, most current approaches are designed for use only with specific text types and fall short when applied to heterogeneous texts. In this paper, we propose a new sentential annotation scheme that is reliably applicable by crowd workers to arbitrary Web texts. We source annotations for over 25,000 instances covering eight controversial topics. We show that integrating topic information into bidirectional long short-term memory networks outperforms vanilla BiLSTMs by more than 3 percentage points in F1 in two- and three-label cross-topic settings. We also show that these results can be further improved by leveraging additional data for topic relevance using multi-task learning.",Cross-topic Argument Mining from Heterogeneous Sources,Argument Mining for Web Texts with Topic Relevance,Sentential Annotation for Argument Mining on Web Texts Using Multi-Task Learning and Bidirectional Long Short-Term Memory,,Sentential Annotation for Argument Mining in Web Texts, Sentential Annotation of Web Texts,Sentential Argument Mining for Heterogeneous Web Texts
37,"Text-based games present a unique challenge for autonomous agents to operate in natural language and handle enormous action spaces. In this paper, we propose the Contextual Action Language Model (CALM) to generate a compact set of action candidates at each game state. Our key insight is to train language models on human gameplay, where people demonstrate linguistic priors and a general game sense for promising actions conditioned on game history. We combine CALM with a reinforcement learning agent which re-ranks the generated action candidates to maximize in-game rewards. We evaluate our approach using the Jericho benchmark, on games unseen by CALM during training. Our method obtains a 69% relative improvement in average game score over the previous state-of-the-art model. Surprisingly, on half of these games, CALM is competitive with or better than other models that have access to ground truth admissible actions. Code and data are available at https://github.com/princeton-nlp/calm-textgame.",Keep CALM and Explore: Language Models for Action Generation in Text-based Games,,CALM: A Contextual Action Language Model for Text-Based Games in Natural Language and Social Media Using Reinforcement Learning,CALM: Contextual Action Language Model for Text-based Games,Contextual Action Language Models for Text-based Games, Contextual Action Language Model,Contextual Action Language Model for Text-Based Games
38,"Spectral clustering is one of the most popular clustering approaches. Despite its good performance, it is limited in its applicability to large-scale problems due to its high computational complexity. Recently, many approaches have been proposed to accelerate the spectral clustering. Unfortunately, these methods usually sacrifice quite a lot information of the original data, thus result in a degradation of performance. In this paper, we propose a novel approach, called Landmark-based Spectral Clustering (LSC), for large scale clustering problems. Specifically, we select p ( n) representative data points as the landmarks and represent the original data points as the linear combinations of these landmarks. The spectral embedding of the data can then be efficiently computed with the landmark-based representation. The proposed algorithm scales linearly with the problem size. Extensive experiments show the effectiveness and efficiency of our approach comparing to the state-of-the-art methods.",Large Scale Spectral Clustering with Landmark-Based Representation,Landmark-based Spectral Clustering for Large Scale Problems,Landmark-based Spectral Clustering: Landmark-Based Representation and Algorithm for Large-Scale Clust,Landmark-based Spectral Clustering for Large-Scale Problem Resolution,Landmark-based Spectral Clustering for Large Scale Clustering, Landmark-based Spectral Clustering for Large Scale Clustering,
39,We develop a scalable deep non-parametric generative model by augmenting deep Gaussian processes with a recognition model. Inference is performed in a novel scalable variational framework where the variational posterior distributions are reparametrized through a multilayer perceptron. The key aspect of this reformulation is that it prevents the proliferation of variational parameters which otherwise grow linearly in proportion to the sample size. We derive a new formulation of the variational lower bound that allows us to distribute most of the computation in a way that enables to handle datasets of the size of mainstream deep learning tasks. We show the efficacy of the method on a variety of challenges including deep unsupervised learning and deep Bayesian optimization.,Variational Auto-encoded Deep Gaussian Processes,,A Scalable Variational Model for Deep Gaussian Processes with a Multilayer Perceptron Reparametrized,Scalable Deep Non-parametric Generative Models via Multilayer Perceptron Reparametrizing,Scalable Deep Non-parametric Generative Models, Deep Nonparametric Generative Models,Scaling Non-Parametric Generative Models
40,Most of the current automated essay scoring (AES) systems are trained using manually graded essays from a specific prompt. These systems experience a drop in accuracy when used to grade an essay from a different prompt. Obtaining a large number of manually graded essays each time a new prompt is introduced is costly and not viable. We propose domain adaptation as a solution to adapt an AES system from an initial prompt to a new prompt. We also propose a novel domain adaptation technique that uses Bayesian linear ridge regression. We evaluate our domain adaptation technique on the publicly available Automated Student Assessment Prize (ASAP) dataset and show that our proposed technique is a competitive default domain adaptation algorithm for the AES task.,Flexible Domain Adaptation for Automated Essay Scoring Using Correlated Linear Regression,Domain Adaptation for Automated Essay Scoring,Domain Adaptation for Automated Essay Scoring Using Bayesian Linear-Ridge Regression using Domain Adaptation and Domain,Domain Adaptation for Automated Essay Scoring,Domain Adaptation for Automated Essay Scoring, Domain Adaptation for Automatic Essay Scoring,
41,"Evidence-based medicine is an approach whereby clinical decisions are supported by the best available findings gained from scientific research. This requires efficient access to such evidence. To this end, abstracts in evidence-based medicine can be labeled using a set of predefined medical categories, the socalled PICO criteria. This paper presents an approach to automatically annotate sentences in medical abstracts with these labels. Since both structural and sequential information are important for this classification task, we use kLog, a new language for statistical relational learning with kernels. Our results show a clear improvement with respect to state-of-the-art systems.",A Statistical Relational Learning Approach to Identifying Evidence Based Medicine Categories,Automatic Labeling of Medical Abstracts in Evidence-Based medicine,Automatic Classification of Evidence-Based Medical Abstracts Using PICO Criteria and Statistical Relational Learning with Kernels for Clinical,Automatic Classification of Abstracts in Evidence-Based Medicine Using kLog,Automatic Annotation of Sentences in Evidence-Based Medicine,,Classification of Medical Abstracts Using k-Log Kernels
42,"We present KB-UNIFY, a novel approach for integrating the output of different Open Information Extraction systems into a single unified and fully disambiguated knowledge repository. KB-UNIFY consists of three main steps: (1) disambiguation of relation argument pairs via a sensebased vector representation and a large unified sense inventory; (2) ranking of semantic relations according to their degree of specificity; (3) cross-resource relation alignment and merging based on the semantic similarity of domains and ranges. We tested KB-UNIFY on a set of four heterogeneous knowledge bases, obtaining high-quality results. We discuss and provide evaluations at each stage, and release output and evaluation data for the use and scrutiny of the community1.",Knowledge Base Unification via Sense Embeddings and Disambiguation,KB-UNIFY: A Unified and Fully Disambiguated Knowledge Base for Open Information Extraction,KB-UNIFY: Jointly Disambiguating Relation Argument Pairs and Sense-Based Representations for Open Information,KB-UNIFY: Unified Disambiguation and Alignment of Heterogeneous Knowledge Bases,KB-UNIFY: Unified and Fully Disambiguated Knowledge Repository for Open Information Extraction,,KB-UN: Integrating Open Information Extraction Systems into a Unified Knowledge Repository
43,"We introduce a novel precedence reordering approach based on a dependency parser to statistical machine translation systems. Similar to other preprocessing reordering approaches, our method can efficiently incorporate linguistic knowledge into SMT systems without increasing the complexity of decoding. For a set of five subject-object-verb (SOV) order languages, we show significant improvements in BLEU scores when translating from English, compared to other reordering approaches, in state-of-the-art phrase-based SMT systems.",Using a Dependency Parser to Improve SMT for Subject-Object-Verb Languages,A Dependency Parser for Statistical Machine Translation,Precedence Reordering Based on a Dependency Parser for Statistical Machine Translation of Subject-Object-Verb Ordering,A Dependency Parser for Pre-processing Reordering in Statistical Machine Translation,Dependency Parsing for Preprocessing Preprocessing Statistical Machine Translation Systems, Parse-Based Preference Reordering for Statistical Machine Translation,
44,"Recently research has started focusing on avoiding undesired effects that come with content moderation, such as censorship and overblocking, when dealing with hatred online. The core idea is to directly intervene in the discussion with textual responses that are meant to counter the hate content and prevent it from further spreading. Accordingly, automation strategies, such as natural language generation, are beginning to be investigated. Still, they suffer from the lack of sufficient amount of quality data and tend to produce generic/repetitive responses. Being aware of the aforementioned limitations, we present a study on how to collect responses to hate effectively, employing large scale unsupervised language models such as GPT-2 for the generation of silver data, and the best annotation strategies/neural architectures that can be used for data filtering before expert validation/post-editing.",Generating Counter Narratives against Online Hate Speech: Data and Strategies,Collecting Responses to Hate with Unsupervised Language Models,Automation Strategies to Collect Responses to Hate in Online Discussions: An Empirical Study of the Role of Content Moder,Collecting Responses to Hate: A Case Study on Unsupervised Generation of Textual Response to Hateful Content,Using Textual Responses to Hass in Online Discussion,,Collecting Responses to Hate on Social Media
45,"Most real-world document collections involve various types of metadata, such as author, source, and date, and yet the most commonly-used approaches to modeling text corpora ignore this information. While specialized models have been developed for particular applications, few are widely used in practice, as customization typically requires derivation of a custom inference algorithm. In this paper, we build on recent advances in variational inference methods and propose a general neural framework, based on topic models, to enable flexible incorporation of metadata and allow for rapid exploration of alternative models. Our approach achieves strong performance, with a manageable tradeoff between perplexity, coherence, and sparsity. Finally, we demonstrate the potential of our framework through an exploration of a corpus of articles about US immigration.",Neural Models for Documents with Metadata,Variational Inference of Text Corpora with Topic Models,Neural Variational Inference for Document Collection Modelling with Topic Models: An Exploration of US News Articles about US Immigration Data,Modeling Text Corpora with Topic Models and Variational Inference,Variational Inference for Text Corpora Modeling,,Topic Models for Text Corpora with Metadata
46,"While unsupervised anaphoric zero pronoun (AZP) resolvers have recently been shown to rival their supervised counterparts in performance, it is relatively difficult to scale them up to reach the next level of performance due to the large amount of feature engineering efforts involved and their ineffectiveness in exploiting lexical features. To address these weaknesses, we propose a supervised approach to AZP resolution based on deep neural networks, taking advantage of their ability to learn useful task-specific representations and effectively exploit lexical features via word embeddings. Our approach achieves stateof-the-art performance when resolving the Chinese AZPs in the OntoNotes corpus.",Chinese Zero Pronoun Resolution with Deep Neural Networks,,Supervised Zero Pronoun Resolution with Deep Lexical Features and Word Embeddings via Word Representation Leveraging Neural Networks,Supervised Anaphoric Zero Pronoun Resolution with Deep Neural Networks,Supervised Zero Pronoun Resolution with Deep Neural Networks, Unsupervised Anaphoric Zero Pronoun Resolution with Deep Neural Networks,Supervised Anaphoric Zero Pronoun Resolution with Neural Networks
47,"Abstractive document summarization is a comprehensive task including document understanding and summary generation, in which area Transformer-based models have achieved the state-of-the-art performance. Compared with Transformers, topic models are better at learning explicit document semantics, and hence could be integrated into Transformers to further boost their performance. To this end, we rearrange and explore the semantics learned by a topic model, and then propose a topic assistant (TA) including three modules. TA is compatible with various Transformer-based models and user-friendly since i) TA is a plug-and-play model that does not break any structure of the original Transformer network, making users easily fine-tune Transformer+TA based on a well pre-trained model; ii) TA only introduces a small number of extra parameters. Experimental results on three datasets demonstrate that TA is able to improve the performance of several Transformer-based models.",Friendly Topic Assistant for Transformer Based Abstractive Summarization,Transformer-Based Abstractive Document Summarization with Topic Assistant,Topic Assistant for Transformer Summarization: A Plug-and-play Model and a Task-Oriented Topic Assistant,Topic Assistant: A Plug-and-Play Topic Model for Abstractive Document Summarization,, A Topic Assistant for Abstractive Document Summarization,Topic Assistant: A Plug-and-play Transformer for Abstractive Document Summarization
48,We use SVM classifiers to predict the next action of a deterministic parser that builds labeled projective dependency graphs in an incremental fashion. Non-projective dependencies are captured indirectly by projectivizing the training data for the classifiers and applying an inverse transformation to the output of the parser. We present evaluation results and an error analysis focusing on Swedish and Turkish.,Labeled Pseudo-Projective Dependency Parsing with Support Vector Machines,Predicting the Next Action of a Deterministic Parser using SVM Classifiers,,Projective Dependency Parsing with SVM Classifiers.,SVM Classifiers for Deterministic Parsing, Non-Projective Dependency Parsing with Projectivization,Predicting the Next Action of a Deterministic Parser using SVMs
49,"We present a novel approach to efficiently learn a label tree for large scale classification with many classes. The key contribution of the approach is a technique to simultaneously determine the structure of the tree and learn the classifiers for each node in the tree. This approach also allows fine grained control over the efficiency vs accuracy trade-off in designing a label tree, leading to more balanced trees. Experiments are performed on large scale image classification with 10184 classes and 9 million images. We demonstrate significant improvements in test accuracy and efficiency with less training time and more balanced trees compared to the previous state of the art by Bengio et al.",Fast and Balanced: Efficient Label Tree Learning for Large Scale Object Recognition,Learning Label Trees for Large Scale Image Classification with Many Classes,Efficient Learning of Label Trees for Large Scale Classification with Many Classifiers and More Balanced Tree Structure Tasks. A Case Study,,Learning Label Trees for Large Scale Image Classification, Learning Label Trees for Large Scale Classification,Learning a Label Tree for Large Scale Image Classification
