,abstract,title,bart_base,bart_cnn,bart_xsum,t5,gpt2,pegasus_xsum
20,"The lack of meaningful automatic evaluation metrics for dialog has impeded open-domain dialog research. Standard language generation metrics have been shown to be ineffective for evaluating dialog models. To this end, this paper presents USR, an UnSupervised and Reference-free evaluation metric for dialog. USR is a reference-free metric that trains unsupervised models to measure several desirable qualities of dialog. USR is shown to strongly correlate with human judgment on both Topical-Chat (turn-level: 0.42, system-level: 1.0) and PersonaChat (turn-level: 0.48 and system-level: 1.0). USR additionally produces interpretable measures for several desirable properties of dialog.",USR: An Unsupervised and Reference Free Evaluation Metric for Dialog Generation<original>,<TITLE>An Unsupervised and Reference-Free Evaluation Metric for Dialog<TITLE>Unsupervised and Reference-Free Evaluation Metric for Dialog<TITLE>Unsupervised and Reference-Free Evaluation Metric for Dialog Generation<TITLE>Unsupervised and Reference-Free Evaluation of Dialog Models<TITLE>Unsupervised and Reference-Free Dialog Evaluation Metric<bart_base>,"<TITLE>Unsupervised and Reference-Free Evaluation of Dialog Models: USR, an Unsupervised Metric for Dialog<TITLE>Unsupervised and Reference-Free Evaluation of Dialog Models for Dialog Research: USR, an Unsupervised Met<TITLE>Unsupervised and Reference-Free Evaluation of Dialog Models for Dialog Research: USR, an Unsupervised Approach<TITLE>Unsupervised and Reference-Free Evaluation of Dialog Models: USR, an Unsupervised Approach for Dialog Research<TITLE>Unsupervised and Reference-Free Evaluation of Dialog Models: USR, an Unsupervised Metric for Dialogue Research<bart_cnn>",<TITLE>An Unsupervised Evaluation Metric for Open-Domain Dialog Models<TITLE>Unsupervised and Reference-Free Evaluation Metric for Dialog Models<TITLE>An Unsupervised Metric for Evaluating Open-Domain Dialog<TITLE>An Unsupervised Evaluation Metric for Open-Domain Dialog<TITLE>Unsupervised and Reference-Free Evaluation Metric for Dialog<bart_xsum>,<TITLE>USR: An UnSupervised and Reference-Free Evaluation Metric for Dialog<TITLE>USR: An UnSupervised and Reference-free Evaluation Metric for Dialog<TITLE>UnSupervised and Reference-Free Evaluation Metrics for Dialog<TITLE>UnSupervised and Reference-Free Evaluation Metric for Dialog<TITLE>UnSupervised and Reference-Free Evaluation for Dialog<t5_small>,<TITLE> Unsupervised and Reference-Free Dialog Evaluation Metrics<TITLE> Unsupervised and Reference-free Dialog Evaluation Metrics<TITLE> Unsupervised Dialog Evaluation Metrics for Dialog<TITLE> Unsupervised Dialog Evaluation Metric for Dialog<TITLE> Unsupervised Evaluation of Dialog Models<gpt2>,<TITLE>Unsupervised and Reference-Free Dialog Model Evaluation<TITLE>Unsupervised and Reference-Free Evaluation for Dialog<TITLE>Unsupervised and Reference-Free Evaluation of Dialog<TITLE>Unsupervised and Reference-Free Dialog Evaluation<TITLE>Unsupervised Dialog Model Evaluation<pegasus_xsum>
21,"Question Answering (QA) is in increasing demand as the amount of information available online and the desire for quick access to this content grows. A common approach to QA has been to fine-tune a pretrained language model on a task-specific labeled dataset. This paradigm, however, relies on scarce, and costly to obtain, large-scale human-labeled data. We propose an unsupervised approach to training QA models with generated pseudo-training data. We show that generating questions for QA training by applying a simple template on a related, retrieved sentence rather than the original context sentence improves downstream QA performance by allowing the model to learn more complex context-question relationships. Training a QA model on this data gives a relative improvement over a previous unsupervised model in F1 score on the SQuAD dataset by about 14%, and 20% when the answer is a named entity, achieving state-of-the-art performance on SQuAD for unsupervised QA.",Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering<original>,<TITLE>Unsupervised Question Answering with Pseudo-Training Data<TITLE>Unsupervised Question Answering with Pseudo-training Data<TITLE>Unsupervised Question Answering Using Pseudo-Training Data<TITLE>Unsupervised Question Answering Using Pseudo-training Data<TITLE>Unsupervised QA Training with Pseudo-Training Data<bart_base>,<TITLE>Unsupervised Question Answering with Pseudo-Training Data Generated for Unsupervised QA Training on Task-<TITLE>Unsupervised Question Answering with Pseudo-Training Data Generated for Unsupervised QA Training and Context-<TITLE>Unsupervised Question Answering with Pseudo-Training Data Generated for Unsupervised QA Training and Contextual<TITLE>Unsupervised Question Answering with Pseudo-Training Data Generated for Unsupervised QA Training of Context-<TITLE>Unsupervised Question Answering with Pseudo-Training Data Generated for Unsupervised QA Training of Contextual<bart_cnn>,<TITLE>Unsupervised Question Answering with Pseudo-Training Data<TITLE>Unsupervised Question Answering with Pseudo-training Data<TITLE>Generating Questions for Unsupervised Question Answering<TITLE>Generating Questions for Unsupervised Question Answering<TITLE>Generating Questions for Unsupervised Question Answering<bart_xsum>,<TITLE>Unsupervised Question Answering with Pseudo-Training Data<TITLE>Unsupervised Question Answering with Generated Pseudo-training Data<TITLE>Unsupervised Question Answering with Pseudo-Training<TITLE>Unsupervised Question Answering with Pseudo-training Data<TITLE>Unsupervised Question Answering<t5_small>,<TITLE> Unsupervised Question Answering with Pseudo-Training Data<TITLE> Unsupervised Question Answering Using Pseudo-Training Data<TITLE> Unsupervised Question Answering using Pseudo-Training Data<TITLE> Generating Pseudo-Training Data for Unsupervised QA<TITLE> Generating Pseudo-Training Data for Unsupervised QA Training<gpt2>,<TITLE>Unsupervised Question Answering with Pseudo-Training Data<TITLE>Unsupervised Question Answering Using Pseudo-Training Data<TITLE>Generating Pseudo-Training Data for Unsupervised QA Training<TITLE>Generating Pseudo-Training Data for Question Answering<TITLE>Generating Pseudo-Training Data for Unsupervised QA<pegasus_xsum>
22,"Safe navigation of autonomous agents in human centric environments requires the ability to understand and predict motion of neighboring pedestrians. However, predicting pedestrian intent is a complex problem. Pedestrian motion is governed by complex social navigation norms, is dependent on neighbors’ trajectories, and is multimodal in nature. In this work, we propose SCAN, a Spatial Context Attentive Network that can jointly predict socially-acceptable multiple future trajectories for all pedestrians in a scene. SCAN encodes the influence of spatially close neighbors using a novel spatial attention mechanism in a manner that relies on fewer assumptions, is parameter efficient, and is more interpretable compared to state-of-the-art spatial attention approaches. Through experiments on several datasets we demonstrate that our approach can also quantitatively outperform state of the art trajectory prediction methods in terms of accuracy of predicted intent.",SCAN: A Spatial Context Attentive Network for Joint Multi-Agent Intent Prediction<original>,<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: Spatial Context Attentive Networks for Predicting Pedestrian Intent<TITLE>SCAN: Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Predicting pedestrian Intent<TITLE>A Spatial Context Attentive Network for Predicting Pedestrian Intent<bart_base>,<TITLE>SCAN: Spatial Context Attentive Networks for Pedestrian Motion Prediction using Spatial Attention in Human Centric En<TITLE>SCAN: Spatial Context Attentive Networks for Pedestrian Motion Prediction using Spatial Attention in Human Centric environments<TITLE>SCAN: Spatial Context Attentive Networks for Pedestrian Motion Prediction using Spatial Attention in Human Centric Environment<TITLE>SCAN: Spatial Context Attentive Networks for Pedestrian Motion Prediction using Spatial Attention in Human Centric Systems<TITLE>SCAN: Spatial Context Attentive Networks for Pedestrian Motion Prediction using Spatial Attention in Human Centric Settings<bart_cnn>,<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Pedestrian Intent Prediction<TITLE>SCAN: A Spatial Context Attentive Network<bart_xsum>,<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Socially Acceptable Multiple Future Trajectories<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Socially Acceptable Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Predicting Pedestrian Intention<TITLE>SCAN: A Spatial Context Attentive Network for Pedestrian Motion Prediction<t5_small>,<TITLE> SCAN: Spatial Context Attentive Networks for Predicting Multiple Future Trajectories<TITLE> Scan: Spatial Context Attentive Networks for Predicting Multiple Future Trajectories<TITLE> SCAN: Spatial Context Attentive Networks for Predicting Social Norms<TITLE> SCAN: A Spatial Context Attentive Network for Predicting Multiple Future Trajectories<TITLE> SCAN: Spatial Context Attentive Networks for Predicting Multiple Future Trajectories for All Stops<gpt2>,<TITLE>SCAN: Spatial Context Attentive Networks for Predicting Pedestrian Intent<TITLE>SCAN: Spatial Context Attentive Network for Predicting Pedestrian Intent<TITLE>SCAN: A Spatial Context Attentive Network for Pedestrian Intent Prediction<TITLE>SCAN: Spatial Context Attentive Network for Pedestrian Intent Prediction<TITLE>SCAN: Spatial Context Attentive Networks for Pedestrian Intent Prediction<pegasus_xsum>
23,"Distant supervision, heuristically labeling a corpus using a knowledge base, has emerged as a popular choice for training relation extractors. In this paper, we show that a significant number of “negative“ examples generated by the labeling process are false negatives because the knowledge base is incomplete. Therefore the heuristic for generating negative examples has a serious flaw. Building on a state-of-the-art distantly-supervised extraction algorithm, we proposed an algorithm that learns from only positive and unlabeled labels at the pair-of-entity level. Experimental results demonstrate its advantage over existing algorithms.",Distant Supervision for Relation Extraction with an Incomplete Knowledge Base<original>,<TITLE>Learning from Only Positive and Unlabeled Labels for Distant Supervision<TITLE>Learning from Only Positive and Unlabeled Labels in Distant Supervision<TITLE>Negative Examples in Distant Supervision for Relation Extraction<TITLE>Negative Examples for Distantly Supervised Relation Extraction<TITLE>Negative Examples in Distantly Supervised Relation Extraction<bart_base>,<TITLE>Learning from Only Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction: A Case Study on<TITLE>Learning from Only Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction: A Case Study in<TITLE>Learning from Only Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction with a Knowledge Base of<TITLE>Learning from Only Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction: A Case Study with<TITLE>Learning from Only Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction: A Case Study of<bart_cnn>,<TITLE>Learning from Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction<TITLE>Learning from Positive and Unlabeled Labels for Distantly-Supervised Relation Extraction<TITLE>Learning from Positive and Unlabeled Data for Distantly-Supervised Relation Extraction<TITLE>Learning from Positive and Unlabeled Data for Distantly-Supervised Relation Extraction<TITLE>Learning from Negative Examples in Distantly-Supervised Relation Extraction<bart_xsum>,<TITLE>Distant Supervision: Learning from Positive and Unlabeled Labels<TITLE>Learning from Positive and Unlabeled Labels for Distant Supervision<TITLE>Distant Supervised Extraction from Positive Labels<TITLE>Learning from Positive and Unlabeled Labels<TITLE>Distant Supervision for Relation Extraction<t5_small>,<TITLE> Negative Examples in Distantly Supervised Relation Extraction<TITLE> Improving Distantly Supervised Relation Extraction with Negative Examples<TITLE> Negative Examples in Distant Supervision for Relation Extraction<TITLE> Improving Distant Supervision for Relation Extraction<TITLE> Improving Relation Extraction with Negative Examples<gpt2>,<TITLE>Learning from Only Positive and Unlabeled Labels in Distant Supervision for Relation Extraction<TITLE>Learning from Positive and Unlabeled Labels in Distant Supervision for Relation Extraction<TITLE>Learning from Only Positive and Unlabeled Labels in Distant Supervision<TITLE>Learning from Positive and Unlabeled Labels in Distant Supervision<TITLE>Learning from Only Positive and Unlabeled Labels<pegasus_xsum>
24,"Online shopping caters the needs of millions of users on a daily basis. To build an accurate system that can retrieve relevant products for a query like “MB252 with travel bags” one requires product and query categorization mechanisms, which classify the text as Home&Garden>Kitchen&Dining>Kitchen Appliances>Blenders. One of the biggest challenges in e-Commerce is that providers like Amazon, e-Bay, Google, Yahoo! and Walmart organize products into different product taxonomies making it hard and time-consuming for sellers to categorize goods for each shopping platform. To address this challenge, we propose an automatic product categorization mechanism, which for a given product title assigns the correct product category from a taxonomy. We conducted an empirical evaluation on 445, 408 product titles and used a rich product taxonomy of 319 categories organized into 6 levels. We compared performance against multiple algorithms and found that the best performing system reaches .88 f-score.",Everyone Likes Shopping! Multi-class Product Categorization for e-Commerce<original>,<TITLE>Automatic Product Categorization Mechanisms for Online Shopping<TITLE>Automatic Product and Query Categorization for Online Shopping<TITLE>Automatic Product Categorization for Online Shopping<TITLE>Automated Product Categorization for Online Shopping<TITLE>Automatic Product Categorization in Online Shopping<bart_base>,<TITLE>Automatic Product Categorization for Shopping Platforms using Home&Garden Appliance and Multi-Level Guidance Mechanisms<TITLE>Automatic Product Categorization for Shopping Platforms Using Home&Garden Appliance and Multi-Level Guidance Mechanisms<TITLE>Automatic Product Categorization for Shopping Platforms using Home&Garden Appliance and Multi-Level Guidance Mechanism<TITLE>Automatic Product Categorization for Shopping Platforms Using Home&Garden Appliance and Multi-Level Supervision Mechanisms<TITLE>Automatic Product Categorization for Shopping Platforms Using Home&Garden Appliance and Multi-Level Guidance Mechanism<bart_cnn>,<TITLE>Automatic Product Categorization for Online Shopping<TITLE>Automatic Product Categorization for E-commerce<TITLE>Automatic Product Categorization for E-Commerce<TITLE>Automatic Product Categorization for Online Shopping<TITLE>Automatic Product Categorization for E-commerce<bart_xsum>,<TITLE>Product Categorization for Online Shopping with Travel Bags<TITLE>Automated Product Categorization for Online Shopping<TITLE>Automatic Product Categorization for Online Shopping<TITLE>Automatic Product Categorization in Online Shopping<TITLE>Product Categorization for Online Shopping<t5_small>,<TITLE> Automatic Product Categorization for Online Shopping Caters<TITLE> Automated Product Categorization for Online Shopping Caters<TITLE> Automatic Product Categorization for Shopping Platforms<TITLE> Automatic Product Categorization for Online Shopping Caters <TITLE> Automated Product Categorization for Online Shopping Caters <gpt2>,<TITLE>Automatic Product Categorization Mechanism for Online Shopping Platforms<TITLE>Automatic Product Categorization for Online Shopping Platforms<TITLE>Automatic Product Categorization Mechanism for Online Shopping<TITLE>Automatic Product Categorization for Online Shopping<TITLE>Product Categorization for Online Shopping<pegasus_xsum>
25,"We introduce a novel coreference resolution system that models entities and events jointly. Our iterative method cautiously constructs clusters of entity and event mentions using linear regression to model cluster merge operations. As clusters are built, information flows between entity and event clusters through features that model semantic role dependencies. Our system handles nominal and verbal events as well as entities, and our joint formulation allows information from event coreference to help entity coreference, and vice versa. In a cross-document domain with comparable documents, joint coreference resolution performs significantly better (over 3 CoNLL F1 points) than two strong baselines that resolve entities and events separately.",Joint Entity and Event Coreference Resolution across Documents<original>,<TITLE>Joint Coreference Resolution with Entity and Event Mention Clusters<TITLE>Joint Entity and Event Coreference Resolution with Structured Clusters<TITLE>Joint Entity and Event Coreference Resolution Using Linear Regression<TITLE>Joint Coreference Resolution with Entity and Event Clusters<TITLE>Joint Coreference Resolution with Entity and Event Mentions<bart_base>,<TITLE>Joint Coreference Resolution of Entities and Events Using Modeling Semantic Role Dependencies using Linear Regression and Iterative<TITLE>Joint Coreference Resolution of Entities and Events Using Modeling Semantic Role Dependencies using Linear Regression and Incremental<TITLE>Joint Coreference Resolution of Entities and Events Using Modeling Semantic Role Dependencies using Linear Regression and Sequential<TITLE>Joint Coreference Resolution of Entities and Events Using Modeling Semantic Role Dependencies using Linear Regression and Interaction<TITLE>Joint Coreference Resolution of Entities and Events Using Modeling Semantic Role Dependencies using Linear Regression and Sequences<bart_cnn>,<TITLE>Joint Entity and Event Coreference Resolution with Semantic Role Dependencies<TITLE>Joint Entity and Event Coreference Resolution with Semantic Role Dependencies<TITLE>Joint Coreference Resolution of Entities and Events<TITLE>Joint Entity and Event Coreference Resolution<TITLE>Joint Entity and Event Coreference Resolution<bart_xsum>,<TITLE>Joint Coreference Resolution for Entity and Events<TITLE>Joint Coreference Resolution for Entity and Event Discovery<TITLE>Joint Coreference Resolution of Entity and Events<TITLE>Joint Coreference Resolution for Entities and Events<TITLE>Joint Coreference Resolution of Entities and Events<t5_small>,<TITLE> Joint Entity and Event Coreference Resolution<TITLE> A Joint Model for Coreference Resolution<TITLE> Joint Entity and Event Coreference Resolution Using Linear Regression<TITLE> Joint Entity and Event Coreference Resolution: An Iterative Approach<TITLE> Joint Entity and Event Coreference Resolution: An Iterative Method<gpt2>,<TITLE>Joint Coreference Resolution with Entity and Event Clusters<TITLE>Joint Coreference Resolution for Nominal and Verbal Events<TITLE>Joint Coreference Resolution of Nominal and Verbal Events<TITLE>Joint Coreference Resolution with Entity and Event Clustering<TITLE>Joint Entity and Event Coreference Resolution<pegasus_xsum>
26,"Increasing model size when pretraining natural language representations often results in improved performance on downstream tasks. However, at some point further model increases become harder due to GPU/TPU memory limitations and longer training times. To address these problems, we present two parameterreduction techniques to lower memory consumption and increase the training speed of BERT (Devlin et al., 2019). Comprehensive empirical evidence shows that our proposed methods lead to models that scale much better compared to the original BERT. We also use a self-supervised loss that focuses on modeling inter-sentence coherence, and show it consistently helps downstream tasks with multi-sentence inputs. As a result, our best model establishes new state-of-the-art results on the GLUE, RACE, and SQuAD benchmarks while having fewer parameters compared to BERT-large. The code and the pretrained models are available at https://github.com/google-research/ALBERT.",ALBERT: A Lite BERT for Self-supervised Learning of Language Representations<original>,<TITLE>ParameterReduction and Self-Supervised Learning for Neural Machine Translation<TITLE>ParameterReduction and Self-Supervised Training for Neural Machine Translation<TITLE>ParameterReduction and Self-Supervised Learning for Neural Language Processing<TITLE>Parameter Reduction and Self-Supervised Learning for Neural Machine Translation<TITLE>Approximate Parameter Reduction for Neural Machine Translation<bart_base>,<TITLE>ALBERT: Self-Supervised Learning for Pretraining Natural Language Representations with Memory and Self-supervised Loss.<TITLE>ALBERT: Self-Supervised Learning for Pretraining Natural Language Representations with Application to Label Induction and Sentence<TITLE>ALBERT: Self-Supervised Learning for Pretraining Natural Language Representations with Memory and Self-supervised Losss<TITLE>ALBERT: Self-Supervised Learning for Pretraining Natural Language Representations with Memory and Self-supervised Losses<TITLE>ALBERT: Self-Supervised Learning for Pretraining Natural Language Representations with Memory and Self-supervised Training.<bart_cnn>,<TITLE>Parameter Reduction and Self-Supervised Coherence for BERT<TITLE>Parameter Reduction and Self-Supervised Learning for BERT<TITLE>Parameter Reduction and Self-Supervised Loss for BERT<TITLE>Parameter Reduction and Self-Supervised Learning for BERT<TITLE>Parameter Reduction and Self-Supervised Learning for BERT<bart_xsum>,<TITLE>Improved Model Size with Multi-Sentence Coherence<TITLE>Improved Model Size with Multi-Sentence Inputs<TITLE>Improved Model Size for Pretraining Natural Language Representations<TITLE>Improved Model Size with Parameter Reduction<TITLE>Improved Model Size with Parameterreduction<t5_small>,<TITLE> Parameter Reduction for Neural Machine Translation<TITLE> Parameter Reduction Techniques for Neural Machine Translation<TITLE> Parameter Reduction for Natural Language Processing<TITLE> Parameter Reduction Techniques for Natural Language Processing<TITLE> Reducing Memory Usage for Natural Language Processing<gpt2>,<TITLE>Parameter Reduction and Self-Supervised Coherence for BERT<TITLE>Parameter Reduction and Self-supervised Coherence Loss for BERT<TITLE>Parameter Reduction and Self-supervised Coherence Learning for BERT<TITLE>Parameter Reduction and Self-Supervised Loss for BERT<TITLE>Parameter Reduction for BERT<pegasus_xsum>
27,"With the great success of pre-trained language models, the pretrain-finetune paradigm now becomes the undoubtedly dominant solution for natural language understanding (NLU) tasks. At the fine-tune stage, target task data is usually introduced in a completely random order and treated equally. However, examples in NLU tasks can vary greatly in difficulty, and similar to human learning procedure, language models can benefit from an easy-to-difficult curriculum. Based on this idea, we propose our Curriculum Learning approach. By reviewing the trainset in a crossed way, we are able to distinguish easy examples from difficult ones, and arrange a curriculum for language models. Without any manual model architecture design or use of external data, our Curriculum Learning approach obtains significant and universal performance improvements on a wide range of NLU tasks.",Curriculum Learning for Natural Language Understanding<original>,<TITLE>Curriculum Learning for Language Models with Difficulty<TITLE>Curriculum Learning for Natural Language Understanding<TITLE>Curriculum Learning for Language Model Understanding<TITLE>Curriculum Learning for Language Modeling<TITLE>Curriculum Learning for Language Models<bart_base>,<TITLE>Curriculum Learning for Natural Language Understanding: An Easy-to-Difficult Curriculum Based on Cross-Lingual<TITLE>Curriculum Learning for Natural Language Understanding: An Easy-to-Difficult Curriculum Based on a Cross-Ling<TITLE>Curriculum Learning for Natural Language Understanding: An Easy-to-Difficult Curriculum Based on the Cross-Ling<TITLE>Curriculum Learning for Natural Language Understanding: An Easy-to-Difficult Curriculum Based on a Cross-Way Approach<TITLE>Curriculum Learning for Natural Language Understanding: An Easy-to-Difficult Curriculum Based on the Cross-Way Training<bart_cnn>,<TITLE>Curriculum Learning for Natural Language Understanding: An Easy-to-Difficult Approach<TITLE>Curriculum Learning: An Easy-to-Difficult Approach for Natural Language Understanding<TITLE>Curriculum Learning for Natural Language Understanding Tasks<TITLE>Curriculum Learning for Natural Language Understanding Tasks<TITLE>Curriculum Learning for Natural Language Understanding Tasks<bart_xsum>,<TITLE>Pretrain-Finetune Curriculum for Natural Language Understanding<TITLE>Pretrain-finetune Curriculum for Natural Language Understanding<TITLE>Curriculum Learning for Natural Language Understanding Tasks<TITLE>Curriculum Learning for Natural Language Understanding<TITLE>Curriculum Learning for Language Models<t5_small>,<TITLE> Curriculum Learning for Natural Language Understanding<TITLE> Curriculum Learning for Language Models<TITLE> Curriculum Learning for Pre-trained Language Models<TITLE> Curriculum Learning for Natural Language Understanding Tasks<TITLE> Curriculum Learning for Language Understanding<gpt2>,<TITLE>Curriculum Learning for Pre-trained Language Models<TITLE>Curriculum Learning for Pre-Trained Language Models<TITLE>Curriculum Learning for Natural Language Understanding Tasks<TITLE>Curriculum Learning for Natural Language Understanding<TITLE>Curriculum Learning for Language Models<pegasus_xsum>
28,"We introduce the Adaptive Skills, Adaptive Partitions (ASAP) framework that (1) learns skills (i.e., temporally extended actions or options) as well as (2) where to apply them. We believe that both (1) and (2) are necessary for a truly general skill learning framework, which is a key building block needed to scale up to lifelong learning agents. The ASAP framework can also solve related new tasks simply by adapting where it applies its existing learned skills. We prove that ASAP converges to a local optimum under natural conditions. Finally, our experimental results, which include a RoboCup domain, demonstrate the ability of ASAP to learn where to reuse skills as well as solve multiple tasks with considerably less experience than solving each task from scratch.",Higher-Order Correlation Clustering for Image Segmentation<original>,"<TITLE>Adaptive Skills, Adaptive Partitions: An Application to Lifelong Learning<TITLE>Adaptive Skills, Adaptive Partitions for Lifelong Skill Learning<TITLE>Adaptive Skills, Adaptive Partitions for Lifelong Learning<TITLE>Applying Adaptive Skills to Lifelong Learning<TITLE>Adaptive Skills, Adaptive Partitions<bart_base>","<TITLE>Adaptive Skills, Adaptive Partitions and Where to Go From There: A Case Study on Lifelong Learning with Application to<TITLE>Adaptive Skills, Adaptive Partitions and Where to Go From There: A Case Study on Lifelong Learning with Local Optim<TITLE>Adaptive Skills, Adaptive Partitions and Where to Go From There: Achieving Lifelong Learning Tasks with Local<TITLE>Adaptive Skills, Adaptive Partitions and Where to Go From There: A Case Study on Lifelong Learning with Applications to<TITLE>Adaptive Skills, Adaptive Partitions and Where to Go From There: Achieving Lifelong Learning Tasks in a<bart_cnn>","<TITLE>Adaptive Skills, Adaptive Partitions: Where to Learn and Where to Apply Them<TITLE>Adaptive Skills, Adaptive Partitions: Where to Learn and Where to Reuse<TITLE>Adaptive Skills, Adaptive Partitions: Where to Learn and Where to Apply Skills<TITLE>Adaptive Skills, Adaptive Partitions: Where to Learn and Where to Apply Them<TITLE>Adaptive Skills, Adaptive Partitions: Where to Learn and Where to Reuse<bart_xsum>","<TITLE>The Adaptive Skills, Adaptive Partitions Framework<TITLE>ASAP: Adaptive Skills, Adaptive Partitions<TITLE>Adaptive Skills, Adaptive Partitionitions<TITLE>Adaptive Skills, Adaptive Partitions<TITLE>Adaptive Skills and Adaptive Partitions<t5_small>","<TITLE> Adaptive Skills, Adaptive Partitions<TITLE> Adaptive Skills: Learning Where to Apply Them<TITLE> Adaptive Skills: Learning Where To Apply Them<TITLE> Adaptive Skill Learning<TITLE> Adaptive Skills: Learning Temporally Extended Actions or Options<gpt2>","<TITLE>Adaptive Skills, Adaptive Partitions: A General Skill Learning Framework<TITLE>Adaptive Skills, Adaptive Partitions: A Framework for Lifelong Learning<TITLE>Learning Where to Apply: Adaptive Skills, Adaptive Partitions<TITLE>Adaptive Skills, Adaptive Partitions: Learning Where to Apply<TITLE>The Adaptive Skills, Adaptive Partitions Framework<pegasus_xsum>"
29,"We present COMET, a neural framework for training multilingual machine translation evaluation models which obtains new state-of-the-art levels of correlation with human judgements. Our framework leverages recent breakthroughs in cross-lingual pretrained language modeling resulting in highly multilingual and adaptable MT evaluation models that exploit information from both the source input and a target-language reference translation in order to more accurately predict MT quality. To showcase our framework, we train three models with different types of human judgements: Direct Assessments, Human-mediated Translation Edit Rate and Multidimensional Quality Metric. Our models achieve new state-of-the-art performance on the WMT 2019 Metrics shared task and demonstrate robustness to high-performing systems.",COMET: A Neural Framework for MT Evaluation<original>,<TITLE>ComET: A Neural Framework for Multilingual Machine Translation Evaluation<TITLE>A Neural Framework for Multilingual MT Evaluation with Human Judgements<TITLE>ComET: A Neural Framework for Multilingual MT Evaluation<TITLE>ComET: Neural Machine Translation Evaluation with Human Judgements<TITLE>A Neural Framework for Multilingual Machine Translation Evaluation<bart_base>,<TITLE>Cross-Lingual Multilingual Machine Translation Evaluation with Human Judgements and Direct Assessments: A Neural Framework for Machine<TITLE>Cross-Lingual Multilingual Machine Translation Evaluation with Human Judgements and Direct Assessments: Neural Framework for Machine Translation<TITLE>Cross-Lingual Multilingual Machine Translation Evaluation with Human Judgements and Direct Assessments: A Case Study on Machine<TITLE>Cross-Lingual Multilingual Machine Translation Evaluation with Human Judgements and Direct Assessments: A Neural Framework for Domain<TITLE>Cross-Lingual Multilingual Machine Translation Evaluation with Human Judgements and Direct Assessments: A Case Study on the<bart_cnn>,<TITLE>ComET: A Neural Framework for Multilingual Machine Translation Evaluation<TITLE>ComET: A Neural Framework for Multilingual Machine Translation Evaluation Models<TITLE>ComET: A Neural Framework for Multilingual Machine Translation Evaluation<TITLE>ComET: A Neural Framework for Multilingual Machine Translation Evaluation Models<TITLE>ComET: A Neural Framework for Multilingual Machine Translation Evaluation<bart_xsum>,<TITLE>COMET: A Neural Framework for Multilingual Machine Translation Evaluation<TITLE>CoMET: A Neural Framework for Multilingual Machine Translation Evaluation<TITLE>COMET: A Multilingual Machine Translation Evaluation Framework<TITLE>COMET: A Multilingual Machine Translation Evaluation Model<TITLE>Learning Multilingual Machine Translation Evaluation Models<t5_small>,<TITLE> Comet: A Neural Framework for Training Multilingual Machine Translation Evaluation Models<TITLE> Comet: A Neural Framework for Machine Translation Evaluation<TITLE> Comet: A Neural Framework for Training Multilingual Machine Translation Evaluation<TITLE> Comet: A Neural Framework for Training Multilingual Machine Translation Evaluation Model<TITLE> Comet: A Neural Framework for Training Multilingual Machine Translation<gpt2>,<TITLE>COMET: A Neural Framework for Training MT Evaluation Models with Human Judgements<TITLE>COMET: A Neural Framework for Training Multilingual Machine Translation Evaluation Models<TITLE>COMET: A Neural Framework for Training Multilingual Machine Translation Evaluation Models<TITLE>COMET: A Neural Framework for Training Multilingual MT Evaluation Models<TITLE>COMET: A Neural Framework for Training MT Evaluation Models<pegasus_xsum>
