,title,abstract,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
43,Robust Incremental Neural Semantic Graph Parsing,"Parsing sentences to linguistically-expressive semantic representations is a key goal of Natural Language Processing. Yet statistical parsing has focussed almost exclusively on bilexical dependencies or domain-specific logical forms. We propose a neural encoder-decoder transition-based parser which is the first full-coverage semantic graph parser for Minimal Recursion Semantics (MRS). The model architecture uses stack-based embedding features, predicting graphs jointly with unlexicalized predicates and their token alignments. Our parser is more accurate than attention-based baselines on MRS, and on an additional Abstract Meaning Representation (AMR) benchmark, and GPU batch processing makes it an order of magnitude faster than a high-precision grammar-based parser. Further, the 86.69% Smatch score of our MRS parser is higher than the upper-bound on AMR parsing, making MRS an attractive choice as a semantic representation.",<TITLE>Neural Transition-based Semantic Graph Parsing for Minimal Recursion Semantics<TITLE>Neural Transition-based Semantic Graph Parsing for Minimal Recursion Semantics.<TITLE>Neural Encoder-Decoder Transition-based Semantic Graph Parsing<TITLE>Semantic Graph Parsing with Stack-based Embedding Features<TITLE>Semantic Graph Parsing for Minimal Recursion Semantics,<TITLE>Neural Encoder-Decoder Transition-based Parsing of Minimal Recursion Semantic Parsers for Natural Language Processing<TITLE>Neural Encoder-Decoder Transition-based Parsing of Minimal Recursion Semantic Representations for Natural Language Processing<TITLE>Neural Encoder-Decoder Transition-based Parsing for Minimal Recursion Semantic Parsing with Stack Embedd<TITLE>Neural Encoder-Decoder Transition-based Parsing for Minimal Recursion Semantic Parsing of Sentences to<TITLE>Neural Encoder-Decoder Transition-based Parsing for Minimal Recursion Semantic Parsing with Stack-based,<TITLE>A Neural Transition-based Parser for Minimal Recursion Semantics<TITLE>A Neural Transition-Based Parser for Minimal Recursion Semantics<TITLE>A Neural Transition-based Parser for Minimal-Recursion Semantics<TITLE>A Neural Transition-based Parser for Minimal Recursion Semantics<TITLE>A Neural Transition-Based Parser for Minimal Recursion Semantics,<TITLE>Full-coverage Semantic Graph Parsing for Minimal Recursion Semantics<TITLE>Minimal Recursion Semantics with Neural Encoder-Decoder Transitions<TITLE>Minimal Recursion Semantics with Neural Encoder-Decoder Transition<TITLE>Minimal Recursion Semantics with Neural Graph Parsing<TITLE>Graph Parsing for Minimal Recursion Semantics,<TITLE> Neural Decoding for Minimal Recursion Semantics<TITLE> Minimal Recursion Semantic Graph Parsing<TITLE> Minimal Recursion Semantic Parsing<TITLE> Minimal Recursion Semantic Parsing with Neural Encoders<TITLE> Minimal Recursion Semantic Graph Parsing with Neural Encoders,<TITLE>Neural-Decoder Parsing for Minimal Recursion Representations<TITLE>Neural-Decoder Parsing for Minimal Recursions<TITLE>Neural-Decoder Parsing of Minimal Recursions<TITLE>Neural-Decoder Parsing for Minimal Recursion Representation<TITLE>Minimal Recursion Parsing with Neural Networks
45,Bregman Alternating Direction Method of Multipliers,"We derive upper bounds on the generalization error of a learning algorithm in terms of the mutual information between its input and output. The bounds provide an information-theoretic understanding of generalization in learning problems, and give theoretical guidelines for striking the right balance between data fit and generalization by controlling the input-output mutual information. We propose a number of methods for this purpose, among which are algorithms that regularize the ERM algorithm with relative entropy or with random noise. Our work extends and leads to nontrivial improvements on the recent results of Russo and Zou.",<TITLE>Generalization Error Bounds on the Input-Output Mutual Information<TITLE>Lower Bounds on Generalization Error of Learning Algorithms<TITLE>Generalization Error Bounds on Input-Output Mutual Information<TITLE>Generalization Error Bounds for Learning with Mutual Information<TITLE>Lower Bounds on Generalization Error in Learning Problems,<TITLE>Generalization Error Bounds on the Generalization Error of Learning Algorithms via Mutual Information Control and Random Noise Regularization.<TITLE>Generalization Error Bounds on the Generalization Error of a Learning Algorithm via Mutual Information Control and Random Noise Regularization.<TITLE>Generalization Error Bounds on the Generalization Error of a Learning Algorithm via Mutual Information Regularization and Random Noise Control.<TITLE>Generalization Error Bounds on the Generalization Error of a Learning Algorithm via Mutual Information Regularization and Random Noise in Rein<TITLE>Generalization Error Bounds on the Generalization Error of a Learning Algorithm via Mutual Information Regularization and Random Noise in E,<TITLE>Generalization Error Bounds for Learning Algorithms with Relative Entropy and Random Noise<TITLE>On the Generalization Error of Learning Algorithms with Relative Entropy and Random Noise<TITLE>Generalization Error Bounds for Learning Algorithms with Relative Entropy and Random Noise<TITLE>On the Generalization Error of Learning Algorithms<TITLE>Generalization Error Bounds for Learning Algorithms,<TITLE>Generalization of a Learning Algorithm<TITLE>Generalization of Learning Algorithms<TITLE>Generalization in Learning with Mutual Information<TITLE>Generalization in Learning Problems<TITLE>Generalization in Learning,<TITLE> Bounds on Generalization Error of Learning Algorithms<TITLE> Information-Theoretic Bounds on Generalization Error<TITLE> Bounds on Generalization Error in Learning Problems<TITLE> Information-Theoretic Generalization Error Bounds<TITLE> Bounds on Generalization Error in Learning,<TITLE>Upper Bounds on the Generalization Error<TITLE>On the Generalization Error of Learning Algorithms<TITLE>On the Generalization Error of ERM<TITLE>Upper Bounds on the ERM Error<TITLE>Upper bounds on the ERM error
51,Real-World Semi-Supervised Learning of POS-Taggers for Low-Resource Languages,"Developing natural language processing tools for low-resource languages often requires creating resources from scratch. While a variety of semi-supervised methods exist for training from incomplete data, there are open questions regarding what types of training data should be used and how much is necessary. We discuss a series of experiments designed to shed light on such questions in the context of part-of-speech tagging. We obtain timed annotations from linguists for the low-resource languages Kinyarwanda and Malagasy (as well as English) and evaluate how the amounts of various kinds of data affect performance of a trained POS-tagger. Our results show that annotation of word types is the most important, provided a sufficiently capable semi-supervised learning infrastructure is in place to project type information onto a raw corpus. We also show that finitestate morphological analyzers are effective sources of type information when few labeled examples are available.",<TITLE>Semi-Supervised Learning of Part-of-Speech Tagging Techniques for Low-Resource Languages<TITLE>Semi-Supervised Learning of Part-of-Speech Tagging for Low-Resource Languages<TITLE>Semi-Supervised Learning of Part-of-Speech Tagging for Low-resource Languages<TITLE>Semi-supervised Learning of Part-of-Speech Tagging for Low-Resource Languages<TITLE>Semi-supervised Learning of Part-of-Speech Tagging for Low-resource Languages,<TITLE>Semi-supervised Part-of-Speech Tagging by Timing-Annotated Annotation of Words into Corpora<TITLE>Semi-supervised Part-of-Speech Tagging by Timing-Extracted Annotation of Word Types in Low-<TITLE>Semi-supervised Part-of-Speech Tagging by Timing-Annotated Annotation of Word Types in Low<TITLE>Semi-supervised Part-of-Speech Tagging by Timing-Annotated Annotation of Word Types in the<TITLE>Semi-supervised Part-of-Speech Tagging by Timing-Annotated Annotation of Word Type Information.,<TITLE>How Much Data Do You Need to Train a Semi-Supervised Part-of-Speech Tagger?<TITLE>How Much Data Do You Need for Semi-Supervised Part-of-Speech Tagging?<TITLE>How much data is necessary to train a semi-supervised part-of-speech tagger?<TITLE>How Much Data Do You Need to Train a Semi-Supervised POS-Tagger?<TITLE>How much data is necessary to train a semi-supervised POS-tagger?,<TITLE>Part-of-Speech Tagging with Timed Annotations<TITLE>Part-of-Speech Tagging with Timed Annotation<TITLE>Semi-Supervised Learning for Low-Resource Language Processing<TITLE>Semi-Supervised Learning for Low-Resource Languages<TITLE>Part-of-Speech Tagging for Language Processing,<TITLE> Semi-Supervised Learning of Part-of-Speech Tagging<TITLE> Semi-Supervised Learning for Low-Resource Languages<TITLE> Semi-Supervised Learning of Low-Resource Languages<TITLE> Semi-Supervised Learning of Part-of-Speech Tagging Using Data from Low-Resource Languages<TITLE> Semi-Supervised Learning of Part-of-Speech Tagging Using Finite-State Morphology,<TITLE>How Much Data Does a Semi-Supervised Part-of-Speech Tagging System Need?<TITLE>How Much Data Does a Semi-Supervised Part-of-Speech Tagging System Use?<TITLE>How Much Data Do We Need to Train a Part-of-Speech Tagging System?<TITLE>How Much Data Should We Use for Part-of-Speech Tagging?<TITLE>How Much Data Does a Semi-Supervised POS-Tagger Need?
54,An Empirical Study of Automatic Chinese Word Segmentation for Spoken Language Understanding and Named Entity Recognition,"Word segmentation is usually recognized as the first step for many Chinese natural language processing tasks, yet its impact on these subsequent tasks is relatively under-studied. For example, how to solve the mismatch problem when applying an existing word segmenter to new data? Does a better word segmenter yield a better subsequent NLP task performance? In this work, we conduct an initial attempt to answer these questions on two related subsequent tasks: semantic slot filling in spoken language understanding and named entity recognition. We propose three techniques to solve the mismatch problem: using word segmentation outputs as additional features, adaptation with partial-learning and taking advantage of n-best word segmentation list. Experimental results demonstrate the effectiveness of these techniques for both tasks and we achieve an error reduction of about 11% for spoken language understanding and 24% for named entity recognition over the baseline systems.",<TITLE>How to Solve the Mismatch Problem in Chinese Word Segmentation<TITLE>Using Word Segmentation Output to Solve the Mismatch Problem<TITLE>How to Solve the Mismatch Problem in Chinese NLP<TITLE>Using Word Segmentation Output for Chinese NLP Tasks<TITLE>Improving Word Segmentation for Chinese NLP Tasks,<TITLE>Adaptive Word Segmentation with Partial-Learning and Named Entity Recognition for Spoken Language Understanding and NLP Tasks<TITLE>Adaptive Word Segmentation with Partial-Learning and Named Entity Recognition for Chinese NLP Tasks: An Initial Investigation<TITLE>Adaptive Word Segmentation with Partial-Learning and Named Entity Recognition for Chinese NLP Tasks: An Application to<TITLE>Adaptive Word Segmentation with Partial-Learning and Named Entity Recognition for Chinese Natural Language Processing Tasks: An Initial<TITLE>Adaptive Word Segmentation with Partial-Learning and Named Entity Recognition for Chinese NLP Tasks: An Application of,<TITLE>Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition Tasks<TITLE>Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition<TITLE>Solving the Mismatch Problem of Word Segmentation for Spoken Language Understanding and Named Entity Recognition<TITLE>Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition<TITLE>Solving the Mismatch Problem in Word Segmentation Tasks for Chinese NLP,<TITLE>Resolving the Mismatch Problem with Semantic Slot Filling in Word Segmentation<TITLE>Resolving the Mismatch Problem with Neural Word Segmentation Outputs<TITLE>Resolving the Mismatch Problem with Word Segmentation Outputs<TITLE>Resolving the Mismatch Problem with Semantic Slot Filling<TITLE>Resolving the Mismatch Problem with Segmentation Outputs,<TITLE> Semantic Slot Filling in Spoken Language Understanding and Named Entity Recognition<TITLE> Improving Semantic Slot Filling by Adapting Word Segmentation Outputs<TITLE> Semantic Slot Filling in Spoken Language Understanding Using Word Segmentation<TITLE> Semantic Slot Filling in Spoken Language Understanding<TITLE> Semantic Slot Filling in Spoken Language Understanding and NER,<TITLE>Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition<TITLE>Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and named entity recognition<TITLE>Solving the Mismatch in Word Segmentation for Spoken Language Understanding and Named Entity Recognition<TITLE>Improving Word Segmentation for Spoken Language Understanding and Named Entity Recognition in Chinese<TITLE>Improving Word Segmentation for Spoken Language Understanding and Named Entity Recognition
56,A Framework for Entailed Relation Recognition,"We define the problem of recognizing entailed relations – given an open set of relations, find all occurrences of the relations of interest in a given document set – and pose it as a challenge to scalable information extraction and retrieval. Existing approaches to relation recognition do not address well problems with an open set of relations and a need for high recall: supervised methods are not easily scaled, while unsupervised and semi-supervised methods address a limited aspect of the problem, as they are restricted to frequent, explicit, highly localized patterns. We argue that textual entailment (TE) is necessary to solve such problems, propose a scalable TE architecture, and provide preliminary results on an Entailed Relation Recognition task.",<TITLE>Relation Recognition with Textual Entailment: A Scalable Approach<TITLE>Recognizing Entailed Relations with Textual Entailment<TITLE>Recognizing Entailed Relations using Textual Entailment<TITLE>Textual Entailment for Relation Recognition<TITLE>Relation Recognition with Textual Entailment,<TITLE>Recognizing Entailed Relation Recognition with Textual Entailment and Semi-Supervised Methods. A Scalable Architecture<TITLE>Recognizing Entailed Relation Recognition with Textual Entailment and Semi-Supervised Learning. A Scalable Architecture<TITLE>Recognizing Entailed Relation Recognition with Textual Entailment and Semi-Supervised Methods. A Scalable Information<TITLE>Recognizing Entailed Relation Recognition with Textual Entailment and Semi-Supervised Methods. A Scalable Approach<TITLE>Recognizing Entailed Relation Recognition with Textual Entailment and Semi-Supervised Learning. A Scalable Approach,<TITLE>Textual Entailment for Relation Recognition: A Scalable Approach<TITLE>Textual Entailment for Relation Recognition<TITLE>Textual Entailment for Relation Recognition<TITLE>Textual Entailment for Relation Recognition<TITLE>Textual Entailment for Relation Recognition,<TITLE>Adaptive Textual Entailment for Entailed Relation Recognition<TITLE>Resolving Entailed Relation Recognition with Textual Entailment<TITLE>Adapting Textual Entailment for Entailed Relation Recognition<TITLE>Resolving Entailed Relation Recognition with Textual Entailments<TITLE>Adaptive Textual Entailment for Entailed Relations,<TITLE> Towards Scalable Information Extraction and Retrieval<TITLE> An Entailed Relation Recognition Architecture for Textual Entailment<TITLE> Towards Scalable Information Extraction and Retrieval from Texts<TITLE> An Entailed Relation Recognition Architecture<TITLE> Towards Scalable Information Extraction and Retrieval from Textual Relations,<TITLE>Textual Entailment for Open-Set Relation Recognition<TITLE>Entailed Relation Recognition with Textual Entailment<TITLE>Entailed Relation Recognition via Textual Entailment<TITLE>Textual Entailment for Open Relation Recognition<TITLE>Textual Entailment for Relation Recognition
57,Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,"Aspect term extraction aims to extract aspect terms from review texts as opinion targets for sentiment analysis. One of the big challenges with this task is the lack of sufficient annotated data. While data augmentation is potentially an effective technique to address the above issue, it is uncontrollable as it may change aspect words and aspect labels unexpectedly. In this paper, we formulate the data augmentation as a conditional generation task: generating a new sentence while preserving the original opinion targets and labels. We propose a masked sequence-to-sequence method for conditional augmentation of aspect term extraction. Unlike existing augmentation approaches, ours is controllable and allows to generate more diversified sentences. Experimental results confirm that our method alleviates the data scarcity problem significantly. It also effectively boosts the performances of several current models for aspect term extraction.",<TITLE>Conditional Augmentation of Aspect Term Extraction as a Conditional Generation Task<TITLE>Conditional Augmentation of Aspect Term Extraction via Sequence toSequence Method<TITLE>Conditional Augmentation of Aspect Term Extraction as Conditional Generation.<TITLE>Conditional Augmentation of Aspect Term Extraction as Conditional Generation<TITLE>Conditional Augmentation of Aspect Term Extraction from Texts,<TITLE>Conditional Augmentation of Aspect Term Extraction: A Masked Sequence-to-Sequence Method for Sentiment Analysis<TITLE>Conditional Augmentation of Aspect Term Extraction: A Masked Sequence-to-Sequence Method for Sentence Generation<TITLE>Conditional Augmentation of Aspect Term Extraction with Masked Sequence-to-Sequence Method for Sentiment Analysis and<TITLE>Conditional Augmentation of Aspect Term Extraction: A Masked Sequence-to-Sequence Method for Sentiment Generation<TITLE>Conditional Augmentation of Aspect Term Extraction: A Masked Sequence-to-Sequence Method for Sentiment Target,<TITLE>Conditional Augmentation of Aspect Term Extraction via Conditional Generation<TITLE>Conditional Augmentation of Aspect Term Extraction with Conditional Generation<TITLE>Conditional Augmentation for Aspect Term Extraction with Conditional Generation<TITLE>Conditional Augmentation of Aspect Term Extraction via Conditional Generation<TITLE>Conditional Augmentation for Aspect Term Extraction,<TITLE>Aspect term Extraction with Conditional Error<TITLE>Aspect term Extraction with Conditional Boosting<TITLE>Conditional Extraction of Aspect term Extraction<TITLE>Aspect term Extraction with Conditional augmentation<TITLE>Conditional Extraction of Aspect Terminology,<TITLE> Conditional Augmentation for Aspect Term Extraction<TITLE> Conditional Augmentation of Aspect Term Extraction<TITLE> Data Augmentation for Aspect Term Extraction<TITLE> Augmenting Aspect Term Extraction with Conditional Generation<TITLE> Modeling Aspect Term Extraction as Conditional Generation,<TITLE>Conditional Aspect Term Extraction via Masked Sequence-to-Sequence Generation<TITLE>Masked Sequence-to-Sequence Aspect Term Extraction<TITLE>Conditional Data Augmentation for Aspect Term Extraction<TITLE>Conditional Augmentation of Aspect Term Extraction<TITLE>Aspect Term Extraction as Conditional Generation
58,Dependency Parsing of Japanese Spoken Monologue Based on Clause Boundaries,"Spoken monologues feature greater sentence length and structural complexity than do spoken dialogues. To achieve high parsing performance for spoken monologues, it could prove effective to simplify the structure by dividing a sentence into suitable language units. This paper proposes a method for dependency parsing of Japanese monologues based on sentence segmentation. In this method, the dependency parsing is executed in two stages: at the clause level and the sentence level. First, the dependencies within a clause are identified by dividing a sentence into clauses and executing stochastic dependency parsing for each clause. Next, the dependencies over clause boundaries are identified stochastically, and the dependency structure of the entire sentence is thus completed. An experiment using a spoken monologue corpus shows this method to be effective for efficient dependency parsing of Japanese monologue sentences.",<TITLE>Dependency Parsing of Japanese Monologues Based on Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologue Sentences using Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologues Using Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologues using Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologues with Sentence Segmentation,<TITLE>Dependency Parsing of Japanese Monologue Sentences Using Sentence Segmentation and Stochastic Dependency Parser<TITLE>Dependency Parsing of Japanese Monologue Sentences Using Sentence Segmentation and Stochastic Dependencies over Language<TITLE>Dependency Parsing of Japanese Monologues Using Sentence Segmentation and Stochastic Dependency Parser for<TITLE>Dependency Parsing of Japanese Monologue Sentences Using Sentence Segmentation and Stochastic Dependency Parsings<TITLE>Dependency Parsing of Japanese Monologue Sentences Using Sentence Segmentation and Stochastic Dependency Parsers,<TITLE>Sentence Segmentation for Dependency Parsing of Japanese Monologues<TITLE>Sentence Segmentation for Dependency Parsing of Japanese Monologue Sentences<TITLE>Sentence Segmentation for Dependency Parsing of Japanese Monologues<TITLE>Sentence Segmentation for Dependency Parsing of Japanese Monologue Sentences<TITLE>Sentence Segmentation for Dependency Parsing of Japanese Monologues,<TITLE>Dependency Parsing of Japanese Monologues with Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologues using Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologues via Sentence Segmentation<TITLE>Dependency Parsing of Japanese Monologues<TITLE>Dependency Parsing for Japanese Monologues,<TITLE> Dependency Parsing of Japanese Monologues Using Sentence Segmentation<TITLE> Dependency Parsing of Japanese Monologues with Sentence Segmentation<TITLE> Japanese Dependency Parsing with Sentence Segmentation<TITLE> Dependency Parsing of Japanese Monologues<TITLE> Dependency Parsing of Japanese Monologues Using Parse Segmentation,<TITLE>Dependency Parsing of Japanese Spoken Monologues Based on Sentence Segmentation<TITLE>Dependency Parsing of Japanese Spoken Monologues based on Sentence Segmentation<TITLE>Dependency Parsing of Japanese Spoken Monologues Using Sentence Segmentation<TITLE>Sentence Segmentation for Dependency Parsing of Japanese Spoken Monologues<TITLE>Dependency Parsing of Spoken Monologues Based on Sentence Segmentation
59,Named Entity Disambiguation for Noisy Text,"We address the task of Named Entity Disambiguation (NED) for noisy text. We present WikilinksNED, a large-scale NED dataset of text fragments from the web, which is significantly noisier and more challenging than existing news-based datasets. To capture the limited and noisy local context surrounding each mention, we design a neural model and train it with a novel method for sampling informative negative examples. We also describe a new way of initializing word and entity embeddings that significantly improves performance. Our model significantly outperforms existing state-of-the-art methods on WikilinksNED while achieving comparable performance on a smaller newswire dataset.",<TITLE>A Large-Scale Named Entity Disambiguation Dataset for Noisy Text<TITLE>A Large-Scale Named Entity Disambiguation Dataset of Noisy Text<TITLE>A Large-Scale Named Entity Disambiguation Dataset from the Web<TITLE>Unsupervised Named Entity Disambiguation for Noisy Text<TITLE>Neural Named Entity Disambiguation for Noisy Text,<TITLE>Named Entity Disambiguation for Noisy Text: A Novelty-Based Neural Model for Extracting Informative Examples<TITLE>Named Entity Disambiguation for Noisy Text: A Novelty-based Neural Model for Extracting Informative Examples<TITLE>Named Entity Disambiguation for Noisy Text: A Novelty-based Approach to Extracting Information from the Web<TITLE>Named Entity Disambiguation for Noisy Text: A Novelty-Based Approach to Extracting Informative Examples from<TITLE>Named Entity Disambiguation for Noisy Text: A Novelty-based Approach to Extracting Informative Examples from,<TITLE>WikilinksNED: Noisy Named Entity Disambiguation for Noisy Text<TITLE>WikilinksNED: Noisy Named Entity Disambiguation with Local Context<TITLE>WikilinksNED: Noisy Named Entity Disambiguation for Local Context<TITLE>WikilinksNED: Noisy Named Entity Disambiguation for Local Context<TITLE>WikilinksNED: Noisy Named Entity Disambiguation for Local Context,<TITLE>Named Entity Disambiguation for Noise-Free Text<TITLE>Named Entity Disambiguation for Noise-based Text<TITLE>Named Entity Disambiguation for Neural Texts<TITLE>Named Entity Disambiguation for Neural Text<TITLE>Named Entity Disambiguation for Noiseful Text,<TITLE> Unsupervised Named Entity Disambiguation for Noisy Text<TITLE> Unsupervised Named Entity Disambiguation Using Word and Entity Embeddings<TITLE> Unsupervised Named Entity Disambiguation for Unseen Text<TITLE> Unsupervised Named Entity Disambiguation Using Word Embeddings<TITLE> Unsupervised Named Entity Disambiguation for Text,<TITLE>WikilinksNED: A Large-Scale Named Entity Disambiguation Dataset<TITLE>Named Entity Disambiguation for Noisy Text: WikilinksNED<TITLE>WikilinksNED: Named Entity Disambiguation for Noisy Text<TITLE>Named Entity Disambiguation for Noisy Text: WikiLinksNED<TITLE>Named Entity Disambiguation for Noisy Text
63,Sentence Compression with Joint Structural Inference,"Sentence compression techniques often assemble output sentences using fragments of lexical sequences such as ngrams or units of syntactic structure such as edges from a dependency tree representation. We present a novel approach for discriminative sentence compression that unifies these notions and jointly produces sequential and syntactic representations for output text, leveraging a compact integer linear programming formulation to maintain structural integrity. Our supervised models permit rich features over heterogeneous linguistic structures and generalize over previous state-of-theart approaches. Experiments on corpora featuring human-generated compressions demonstrate a 13-15% relative gain in 4gram accuracy over a well-studied language model-based compression system.",<TITLE>Discriminative Sentence Compression with Compact Integer Programming Formulations<TITLE>Discriminative Sentence Compression with Dependency Tree Representations<TITLE>Discriminative Sentence Compression with Compact Integer Programming Formulas<TITLE>Discriminative Sentence Compression with Compact Integer Programming Formulation<TITLE>Discriminative Sentence Compression with Compact Integer Linear Programming,<TITLE>Jointly Generating Sequential and Syntactic Representations for Discriminative Sentence Compression with Heterogeneous<TITLE>Jointly Generating Sequential and Syntactic Representations for Discriminative Sentence Compression using Heterogeneous<TITLE>Jointly Generating Sequential and Syntactic Representations for Discriminative Sentence Compression Using Heterogeneous<TITLE>Jointly Generating Sequential and Syntactic Representations for Discriminative Sentence Compression via Heterogeneous<TITLE>Jointly Generating Sequential and Syntactic Representations for Discriminative Sentence Compression with a Compact Integer,<TITLE>Discriminative Sentence Compression with Sequential and Syntactic Representations<TITLE>Discriminative Sentence Compression with Sequential and Syntactic Structures<TITLE>Discriminative Sentence Compression with Sequential and Syntactic Representation<TITLE>Discriminative Sentence Compression with Sequential and Syntactic Representations<TITLE>Discriminative Sentence Compression with Sequential and Syntactic Representation,<TITLE>Discriminative Sentence Compression with Sequential and Syntactic Representations<TITLE>Discriminative Sentence Compression with Integer Linear Programming for Text<TITLE>Discriminative Sentence Compression with a Compact Integer Linear Program<TITLE>Discriminative Sentence Compression with Integer Linear Programming<TITLE>Discriminative Sentence Compression with Integer Linear programming,<TITLE> Discriminative Sentence Compression with Compact Integer Linear Programming<TITLE> Discriminative Sentence Compression<TITLE> Discriminative Sentence Compression with Structural Integrity<TITLE> Discriminative Sentence Compression with Heterogeneous Structures<TITLE> Discriminative Sentence Compression with Structured Input,<TITLE>Joint Sequential and Syntactic Representations for Discriminative Sentence Compression<TITLE>Jointly Assembling Lexical and Syntactic Structures for Sentence Compression<TITLE>Discriminative Sentence Compression with Joint Syntactic and Sequential Representations<TITLE>Joint Sequential and Syntactic Structures for Discriminative Sentence Compression<TITLE>Joint Sequential and Syntactic Representations for Sentence Compression
67,Sequence Generation with Optimal-Transport-Enhanced Reinforcement Learning,"Reinforcement learning (RL) has been widely used to aid training in language generation. This is achieved by enhancing standard maximum likelihood objectives with userspecified reward functions that encourage global semantic consistency. We propose a principled approach to address the difficulties associated with RL-based solutions, namely, highvariance gradients, uninformative rewards and brittle training. By leveraging the optimal transport distance, we introduce a regularizer that significantly alleviates the above issues. Our formulation emphasizes the preservation of semantic features, enabling end-to-end training instead of ad-hoc fine-tuning, and when combined with RL, it controls the exploration space for more efficient model updates. To validate the effectiveness of the proposed solution, we perform a comprehensive evaluation covering a wide variety of NLP tasks: machine translation, abstractive text summarization and image caption, with consistent improvements over competing",<TITLE>End-to-End Reinforcement Learning with Global Semantic Consistency<TITLE>Continuous Reinforcement Learning with Global Semantic Consistency<TITLE>End-to-End Reinforcement Learning for Neural Language Generation<TITLE>End-to-End Reinforcement Learning for Language Generation<TITLE>End-to-End Reinforcement Learning for NLP,<TITLE>Optimal Transport-based Reinforcement Learning for Global Semantic Consistency in NLP Tasks: A Principled Approach<TITLE>Optimal Transport-based Reinforcement Learning for Global Semantic Consistency in NLP Models: An Application to Textual<TITLE>Optimal Transport-based Reinforcement Learning for Global Semantic Consistency in NLP Models: A Principled Approach.<TITLE>Optimal Transport-based Reinforcement Learning for Global Semantic Consistency in NLP Models: A Principled Approach to<TITLE>Optimal Transport-based Reinforcement Learning for Global Semantic Consistency in NLP Tasks: A Principled Perspective,<TITLE>End-to-End Reinforcement Learning for Language Generation with Global Semantic Consistency<TITLE>End-to-End Reinforcement Learning for Language Generation with Userspecified Reward Functions<TITLE>End-to-End Reinforcement Learning for Language Generation with Global Semantic Regularization<TITLE>End-to-End Reinforcement Learning for Language Generation with Global Semantic Consistency<TITLE>End-to-End Reinforcement Learning for Language Generation with Global Semantic Regularization,<TITLE>A Regularizer for Reinforcement Learning in Language Generation<TITLE>Improved Reinforcement Learning for Language Generation<TITLE>Improved Reinforcement Learning in Language Generation<TITLE>A Regularizer for Reinforcement Learning<TITLE>Reinforcement Learning for Language Generation,<TITLE> Efficient Reinforcement Learning for Language Generation<TITLE> Highvariance Gradients for Reinforcement Learning<TITLE> Efficient Reinforcement Learning for Natural Language Generation<TITLE> Learning to Reinforce Language Generation<TITLE> Efficient Reinforcement Learning for Neural Language Generation,<TITLE>Reinforcement Learning for Natural Language Processing with Optimal Transport<TITLE>Reinforcement Learning with Optimal Transport for Natural Language Processing<TITLE>Reinforcement Learning with Optimal Transport for Neural Language Generation<TITLE>Reinforcement Learning with Optimal Transport for Natural Language Generation<TITLE>Reinforcement Learning for Language Generation with Optimal Transport
